COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Algarrobo,BORIS COLJA,IND,Sin Pacto,No,0,Ninguno,No,,
Algarrobo,JAIME GALVEZ,IND,Sin Pacto,No,6,1994 - 1996 / 2000-2004,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/jaime.galvez.165,
Algarrobo,LUIS NUÑEZ ,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/luis.nunezberrios,
Algarrobo,RAFAEL CELEDON ,DC,Concertación,No,0,Ninguno,No,,
Alhué,DIEGO PIÑA,RN,Coalición,No,0,Ninguno,No,,
Alhué,ROBERTO TORRES,IND,Sin Pacto,No,0,Ninguno,No,,
Alhué,FIDEL VALENZUELA,PH,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/pages/Sumate-Fidel-Valenzuela-Alcalde-2012-Alhu%C3%A9/357804831336,Fidelvalenzuela
Alto Bío Bío,DOMINGO VILLEGAS,IND,Más Humanos,No,0,Ninguno,No,,
Alto Bío Bío,ALEJANDRO VIVANCO ,IND,Sin Pacto,No,0,Ninguno,No,,
Alto Bío Bío,FELIX VITA ,PPD,Por un Chile justo,Sí,8,2004- 2012,"2004, 2008",,
Alto Bío Bío,NIVALDO PIÑALEO,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/nivaldo.alcalde2012,Pitril
Alto del Carmen,CARMEN BOU,IND,Coalición,No,14,1994-2008,"1992,1996,2000,2004",,
Alto del Carmen,GUDELIO RAMIREZ,PS,Concertación,No,0,Ninguno,No,,
Alto del Carmen,NORA ROJAS,IND,Sin Pacto,Sí,4,2008-2012,2008,https://www.facebook.com/rojasnora,
Alto del Carmen,SANDRA ANACONA,IND,Sin Pacto,No,0,Ninguno,2000,,
Alto del Carmen,DIANA LOBOS,IND,Sin Pacto,No,0,Ninguno,No,,
Alto del Carmen,JORGE DOMINGUEZ ,IND,Más Humanos,No,0,Ninguno,No,,
Alto Hospicio, ERNESTO PEREZ,PS,Concertación,No,0,Ninguno,No,https://www.facebook.com/ernesto.perezfuentes.3,
Alto Hospicio, MOISES COSSIO,IND,Igualdad para Chile,No,0,Ninguno,No,,
Alto Hospicio,RAMON GALLEGUILLOS,UDI,Coalición,Sí,8,2004-2012,2004.2008,,
Ancud,FEDERICO KRUGER ,UDI,Coalición,Sí,4,2008-2012,2004.2008,https://www.facebook.com/alcaldedeancud,Federicokrugerf
Ancud,ENRIQUE WESTERMEYER,PRI,Regionalistas e Independientes,No,0,Ninguno,1992,https://www.facebook.com/enrique.ellwanger,
Ancud,HERNAN ALVAREZ ,PRO,El cambio por ti,No,0,Ninguno,2004,https://www.facebook.com/hernan.alvareznavarro,
Ancud,SOLEDAD MORENO,IND,Concertación,No,0,Ninguno,No,https://www.facebook.com/soledadmoreno.alcaldesa,
Andacollo, JORGE ORDENES,IND,Sin Pacto,No,4,2004 - 2008,"2000, 2004, 2008",https://www.facebook.com/jorge.ordenesgonzalez,
Andacollo,HORACIO AGUIRRE ,IND,Coalición,No,0,Ninguno,No,,
Andacollo,JUAN CARLOS ALFARO,PS,Concertación,Sí,4,2008 - 2012,"2000, 2008",https://www.facebook.com/pages/Juan-Carlos-Alfaro-Alcalde-Andacollo-Somos-Todos/101299070024778,
Angol,ENRIQUE SANHUEZA,IND,El cambio por ti,No,12,1992 - 2004,"1992, 1996, 2000, 2004, 2008",,
Angol,JOSE ENRIQUE NEIRA,IND,Coalición,Sí,4,2008 - 2012,"1996, 2000, 2008",,
Angol,OBDULIO VALDEBENITO ,DC,Concertación,No,4,2004 - 2008,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/ObdulioValdebenitoAlcaldeParaAngol2012,Obduliovaldeben
Antofagasta,MARCELA HERNANDO,IND,Concertación,Sí,4,2008-2012,2008,https://www.facebook.com/marcelahernando,Marcelahernando
Antofagasta,CARLOS LOPEZ ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/CarlosLopezAlcalde,Carloslopez_alc
Antofagasta,ESLAYNE PORTILLA ,IND,Chile está en otra,No,0,Ninguno,No,https://www.facebook.com/Eslayne.David.Portilla,Eslayneportilla
Antofagasta,GUILLERMO ACUÑA ,IND,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/GuillermoAcunaTuAlcalde,
Antofagasta,ROBERT ARAYA,IND,Coalición,No,0,Ninguno,No,https://www.facebook.com/robertarayaalcalde,Robertaraya
Antofagasta,KAREN ROJO VENEGAS,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Karen-Rojo-Alcaldesa/399613996752354,
Antuco,CARLOS CID ,IND,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/carlos.cid.589,
Antuco,MIGUEL ABUTER ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/miguel.abuterleon,
Antuco,CLAUDIO SOLAR ,DC,Concertación,Sí,16,1996 - 2012,"1996, 2000, 2004, 2008",https://www.facebook.com/pages/Vota-por-Don-Claudio-Solar-como-alcalde-de-Antuco/312264512143590,
Antuco,JORGE LOPEZ ,RN,Coalición,No,0,Ninguno,No,https://www.facebook.com/jorge.lopezfaris,
Arauco,FELIX ROCHA ,IND,Más Humanos,No,0,Ninguno,No,https://www.facebook.com/felix.ahora,felixahora
Arauco,JAIME GAYOSO,PRSD,Por un Chile Justo,No,12,1992-2000/ 2004-2008,"1992,1996, 2000, 2004, 2008",https://www.facebook.com/jaime.gayosoalcalde,
Arauco,MAURICIO ALARCON,IND,Coalición,Sí,8,2000-2004/ 2008-2012,"2000,2004,2008",,
Arica,ANTONELLA MUÑOZ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/pages/Antonella-Mu%C3%B1oz/261916077260443,
Arica,EVA CHANG ,PI,Igualdad para Chile,No,0,Ninguno,No,,
