Algarrobo,Caracterización,Pobreza,,"3,97",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",326,
Alhué,Caracterización,Pobreza,,"7,41",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",295,
Alto Bío Bío,Caracterización,Pobreza,,"49,09",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",1,
Alto del Carmen,Caracterización,Pobreza,,"4,15",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",324,
Alto Hospicio,Caracterización,Pobreza,,"16,26",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",152,
Ancud,Caracterización,Pobreza,,"8,08",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",286,
Andacollo,Caracterización,Pobreza,,"16,23",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",154,
Angol,Caracterización,Pobreza,,"40,70",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",3,
Antofagasta,Caracterización,Pobreza,,"6,90",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",305,
Antuco,Caracterización,Pobreza,,"34,43",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",15,
Arauco,Caracterización,Pobreza,,"16,99",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",145,
Arica,Caracterización,Pobreza,,"12,68",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",218,
Aysén,Caracterización,Pobreza,,"17,56",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",135,
Buin,Caracterización,Pobreza,,"9,54",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",263,
Bulnes,Caracterización,Pobreza,,"25,00",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",63,
Cabildo,Caracterización,Pobreza,,"10,79",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",248,
Cabo de Hornos,Caracterización,Pobreza,,"5,47",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",317,
Cabrero,Caracterización,Pobreza,,"25,15",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",60,
Calama,Caracterización,Pobreza,,"10,34",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",250,
Calbuco,Caracterización,Pobreza,,"8,96",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",271,
Caldera,Caracterización,Pobreza,,"13,24",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",210,
Calera de Tango,Caracterización,Pobreza,,"12,82",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",214,
Calle Larga,Caracterización,Pobreza,,"6,46",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",307,
Camarones,Caracterización,Pobreza,,"10,33",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",251,
Camiña,Caracterización,Pobreza,,"11,43",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",238,
Canela,Caracterización,Pobreza,,"13,81",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",197,
Cañete,Caracterización,Pobreza,,"25,04",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",62,
Carahue,Caracterización,Pobreza,,"33,46",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",18,
Cartagena,Caracterización,Pobreza,,"18,94",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",113,
Casablanca,Caracterización,Pobreza,,"11,51",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",236,
Castro,Caracterización,Pobreza,,"12,23",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",224,
Catemu,Caracterización,Pobreza,,"8,17",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",283,
Cauquenes,Caracterización,Pobreza,,"28,89",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",35,
Cerrillos,Caracterización,Pobreza,,"7,40",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",296,
Cerro Navia,Caracterización,Pobreza,,"18,09",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",126,
Chaitén,Caracterización,Pobreza,,S/I,Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",#VALOR!,
Chanco,Caracterización,Pobreza,,"18,86",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",114,
Chañaral,Caracterización,Pobreza,,"23,86",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",71,
Chépica,Caracterización,Pobreza,,"14,54",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",185,
Chiguayante,Caracterización,Pobreza,,"15,93",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",158,
Chile Chico,Caracterización,Pobreza,,"12,69",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",217,
Chillán,Caracterización,Pobreza,,"15,96",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",156,
Chillán Viejo,Caracterización,Pobreza,,"21,24",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",93,
Chimbarongo,Caracterización,Pobreza,,"18,62",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",116,
Cholchol,Caracterización,Pobreza,,"37,16",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",7,
Chonchi,Caracterización,Pobreza,,"8,15",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",284,
Cisnes,Caracterización,Pobreza,,"4,84",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",318,
Cobquecura,Caracterización,Pobreza,,"29,36",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",31,
Cochamó,Caracterización,Pobreza,,"6,46",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",306,
Cochrane,Caracterización,Pobreza,,"15,07",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",175,
Codegua,Caracterización,Pobreza,,"8,10",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",285,
Coelemu,Caracterización,Pobreza,,"26,29",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",55,
Coihueco,Caracterización,Pobreza,,"28,59",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",39,
Coinco,Caracterización,Pobreza,,"8,67",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",275,
Colbún,Caracterización,Pobreza,,"12,79",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",215,
Colchane,Caracterización,Pobreza,,"40,29",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",4,
Colina,Caracterización,Pobreza,,"10,89",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",245,
Collipulli,Caracterización,Pobreza,,"34,66",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",14,
Coltauco,Caracterización,Pobreza,,"15,30",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",170,
Combarbalá,Caracterización,Pobreza,,"22,87",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",78,
Concepción,Caracterización,Pobreza,,"13,64",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",200,
Conchalí,Caracterización,Pobreza,,"11,35",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",239,
Concón,Caracterización,Pobreza,,"8,41",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",278,
Constitución,Caracterización,Pobreza,,"17,11",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",139,
Contulmo,Caracterización,Pobreza,,"21,90",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",89,
Copiapó,Caracterización,Pobreza,,"18,00",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",129,
Coquimbo,Caracterización,Pobreza,,"14,52",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",186,
Coronel,Caracterización,Pobreza,,"27,26",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",48,
Corral,Caracterización,Pobreza,,"19,24",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",107,
Coyhaique,Caracterización,Pobreza,,"15,06",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",176,
Cunco,Caracterización,Pobreza,,"30,68",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",27,
Curacautín,Caracterización,Pobreza,,"33,85",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",17,
Curacaví,Caracterización,Pobreza,,"14,67",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",180,
Curaco de Vélez,Caracterización,Pobreza,,"7,43",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",294,
Curanilahue,Caracterización,Pobreza,,"30,93",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",24,
Curarrehue,Caracterización,Pobreza,,"19,01",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",111,
Curepto,Caracterización,Pobreza,,"9,58",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",261,
Curicó,Caracterización,Pobreza,,"22,60",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",83,
Dalcahue,Caracterización,Pobreza,,"6,44",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",308,
Diego de Almagro,Caracterización,Pobreza,,"11,17",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",241,
Doñihue,Caracterización,Pobreza,,"16,97",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",146,
El Bosque,Caracterización,Pobreza,,"13,24",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",209,
El Carmen,Caracterización,Pobreza,,"24,87",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",65,
El Monte,Caracterización,Pobreza,,"17,71",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",133,
El Quisco,Caracterización,Pobreza,,"10,85",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",247,
El Tabo,Caracterización,Pobreza,,"6,13",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",312,
Empedrado,Caracterización,Pobreza,,"33,38",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",19,
Ercilla,Caracterización,Pobreza,,"36,06",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",9,
Estación Central,Caracterización,Pobreza,,"9,19",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",267,
Florida,Caracterización,Pobreza,,"15,56",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",165,
Freire,Caracterización,Pobreza,,"30,70",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",26,
Freirina,Caracterización,Pobreza,,"16,39",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",150,
Fresia,Caracterización,Pobreza,,"7,15",Es el porcentaje de habitantes de la comuna que viven bajo la línea de la pobreza,,,"En el ranking nacional de pobreza, la comuna se ubica en el lugar",300,
